day_stem_code,day_stem_ko,target_stem_code,target_stem_ko,ten_god_code,ten_god_ko,category,element_relation,yinyang_relation,source_ref
jeong,정,gap,갑,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
jeong,정,eul,을,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
jeong,정,byeong,병,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
jeong,정,jeong,정,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
jeong,정,mu,무,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
jeong,정,gi,기,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
jeong,정,gyeong,경,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
jeong,정,sin,신,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
jeong,정,im,임,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
jeong,정,gye,계,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
mu,무,gap,갑,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
mu,무,eul,을,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
mu,무,byeong,병,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
mu,무,jeong,정,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
mu,무,mu,무,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
mu,무,gi,기,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
mu,무,gyeong,경,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
mu,무,sin,신,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
mu,무,im,임,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
mu,무,gye,계,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
gi,기,gap,갑,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
gi,기,eul,을,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
gi,기,byeong,병,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
gi,기,jeong,정,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
gi,기,mu,무,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
gi,기,gi,기,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
gi,기,gyeong,경,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
gi,기,sin,신,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
gi,기,im,임,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
gi,기,gye,계,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
gyeong,경,gap,갑,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
gyeong,경,eul,을,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
gyeong,경,byeong,병,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
gyeong,경,jeong,정,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
gyeong,경,mu,무,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
gyeong,경,gi,기,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
gyeong,경,gyeong,경,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
gyeong,경,sin,신,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
gyeong,경,im,임,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
gyeong,경,gye,계,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
sin,신,gap,갑,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
sin,신,eul,을,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
sin,신,byeong,병,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
sin,신,jeong,정,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
sin,신,mu,무,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
sin,신,gi,기,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
sin,신,gyeong,경,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
sin,신,sin,신,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
sin,신,im,임,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
sin,신,gye,계,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
im,임,gap,갑,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
im,임,eul,을,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
im,임,byeong,병,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
im,임,jeong,정,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
im,임,mu,무,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
im,임,gi,기,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
im,임,gyeong,경,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
im,임,sin,신,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
im,임,im,임,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
im,임,gye,계,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
gye,계,gap,갑,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
gye,계,eul,을,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
gye,계,byeong,병,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
gye,계,jeong,정,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
gye,계,mu,무,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
gye,계,gi,기,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
gye,계,gyeong,경,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
gye,계,sin,신,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
gye,계,im,임,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
gye,계,gye,계,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
